1,0.007287,229
2,0.007817,254
3,0.010944,350
4,0.042538,1591
5,0.002805,59
6,0.011761,438
7,0.007117,245
8,0.003,71
9,0.009275,343
10,0.014372,515
11,0.005297,151
12,0.009862,323
13,0.022436,738
14,0.021155,800
15,0.045862,1594
16,0.003839,110
17,0.020425,730
18,0.003475,97
19,0.023162,770
20,0.007083,244
21,0.003517,97
22,0.017544,605
23,0.006695,184
24,0.004788,144
25,0.046363,1694
26,0.008951,279
27,0.007291,238
28,0.022624,830
29,0.007442,220
30,0.013144,499
31,0.008922,326
32,0.011723,376
33,0.007794,251
34,0.003375,72
35,0.014671,510
36,0.023053,792
37,0.022198,747
38,0.026702,920
39,0.007168,220
40,0.006027,186
41,0.1072,3795
42,0.041454,1436
43,0.048171,1718
44,0.01312,402
45,0.003299,81
46,0.003264,73
47,0.022171,775
48,0.012998,416
49,0.015878,580
50,0.111143,4355
51,0.00379,111
52,0.010018,364
53,0.017152,654
54,0.013205,467
55,0.028733,999
56,0.019348,663
57,0.010441,368
58,0.029116,1075
59,0.044855,1513
60,0.003579,100
61,0.023063,843
62,0.02253,736
63,0.004857,151
64,0.010862,345
65,0.045482,1628
66,0.055807,2143
67,0.03337,1239
68,0.00728,218
69,0.015291,537
70,0.006711,174
71,0.058331,1998
72,0.017456,641
73,0.010617,381
74,0.015674,534
75,0.022438,804
76,0.08639,3282
77,0.008834,306
78,0.075582,2777
79,0.009174,331
80,0.009874,355
81,0.010124,323
82,0.009151,281
83,0.002725,55
84,0.009721,329
85,0.003679,101
86,0.005174,144
87,0.005065,144
88,0.01618,560
89,0.032538,1188
90,0.023312,832
91,0.051528,1871
92,0.016269,580
93,0.016069,558
94,0.002746,57
95,0.003353,65
96,0.029578,1078
97,0.022723,795
98,0.010359,367
99,0.014581,547
100,0.009792,324
